,Date,Event Type,Actor 1,Actor 1 Ally,Actor 1 Type,Actor 2,Actor 2 Ally,Actor 2 Type,Interaction Type,Country,Location,Latitude,Longitude,Source,Notes,Fatalities
9398,2017-07-20,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Langa,-33.94506,18.53431,News24,"Protestors burning tyres and blocking roads in two separate incidents in Langa, Cape Town",0
9399,2017-07-20,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Mamelodi,-25.71301,28.365340000000003,News24,"Burning tyres and blocked roads greeted authorities as a service delivery protest broke out in Mamelodi East, north-east of Pretoria.",0
9400,2017-07-20,Riots/Protests,Protesters (South Africa),DA: Democratic Alliance,Protesters,,,NA,Sole protester action,South Africa,Pretoria,-25.74486,28.187829999999998,SABC News,DA members marched to the Treasury head office in Pretoria against state capture by the Gupta Dynasty.,0
9401,2017-07-20,Riots/Protests,Protesters (South Africa),Taxi Drivers (South Africa),Protesters,,,NA,Sole protester action,South Africa,Ravensmead,-33.92136,18.60908,News24,"In Ravensmead, taxi drivers protested on the corner of Connaught and Owen roads.",0
9402,2017-07-21,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Hout Bay,-34.03929,18.34682,News24,"In Hout Bay, protesters pelted police members and Nyalas with stones and objects in ongoing violent protest.",0
9403,2017-07-22,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Hout Bay,-34.03929,18.34682,News24,"One man was shot dead in unknown circumstances, while an ANC office and the houses of community leaders were set alight during a volatile night in Mandela Park and Imizamo Yethu informal settlement in Hout Bay. There were no reports of clashes with police.",1
9404,2017-07-24,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,Cape Argus (South Africa),The communities of Factreton and Kensington took to the streets to demonstrate how fed up they are with gang violence and frustrated by the lack of adequate policing in the area.,0
9405,2017-07-24,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Daveyton,-26.15,28.41667,Sowetan (South Africa),Gender activists in Daveyton on the East Rand took to the streets to voice their frustrations over local police. The police apparently failed to rearrest a well-known businessman for rape.,0
9406,2017-07-24,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Johannesburg,-26.202270000000002,28.043640000000003,Sowetan (South Africa),"Residents of Bramley, northern Johannesburg, took to the streets yesterday demanding shacks erected close to their homes be removed",0
9407,2017-07-24,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Mdantsane,-32.94611,27.72792,Daily Dispatch (South Africa),MDANTSANE FM workers went on unlimited strike until the entire Mdantsane FM board comes to listen to their grievances.,0
9408,2017-07-24,Riots/Protests,Rioters (South Africa),,Rioters,Rioters (South Africa),,Rioters,Rioters versus rioters,South Africa,Pretoria,-25.74486,28.187829999999998,Cape Times (South Africa),"Taxi drivers operating the Solomon Mahlangu Drive in Mamelodi East, Pretoria assumed the role of police yesterday and stopped protesting residents from barricading the roads.Two Toyota Quantums packed with taxi drivers confronted protesters who had blocked the busy road since the morning for a service delivery protest. The protesters had placed stones, bricks and burning tyres across the road.",0
9409,2017-07-24,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Klipspruit,-26.2566,27.91021,IOL News,Klipspruit-Wes Secondary School pupils were forced to miss the first day of the third term when angry parents barred them from class in a protest against the appointment of a black principal.,0
9410,2017-07-24,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Lombardy East,-26.11832,28.12473,News24,"In Lombardy East, residents embarked on protest action. Residents have barricaded roads with burning tyres and are throwing rocks at oncoming traffic in the area.",0
9411,2017-07-24,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Muden,-28.984959999999997,30.37146,News24,"Protesters have shut down the R74 in Muden, Mooi River. Protesters had blockaded the road with stones and rubble.",0
9412,2017-07-24,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Steenberg,-34.07442,18.470229999999997,IOL News,"A group of Steenvilla residents took to the streets and burnt mattresses, tyres and wheelie bins. Police fired rubber bullets and used stun-grenades to disperse the group of about 200 residents.",0
9413,2017-07-24,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Thohoyandou,-22.95,30.4833,News24,At least 600 people were bussed in from Vuwani to Thohoyandou as residents embarked on a peaceful protest.,0
9414,2017-07-24,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Maluti,-30.259890000000002,28.790709999999997,News24,"The Hadernburg road outside Maluti was closed with burning tyres, rocks and a dead horse by people demanding better roads.",0
9415,2017-07-25,Riots/Protests,Rioters (South Africa),Students (South Africa),Rioters,,,NA,Sole rioter action,South Africa,Bellville,-33.9,18.633329999999997,Cape Argus,Buildings and cars where set alight and damaged on the Bellville campus of the Cape Peninsula University of Technology in protest action by students.,0
9416,2017-07-25,Riots/Protests,Rioters (South Africa),Students (South Africa),Rioters,,,NA,Sole rioter action,South Africa,Berea,-29.85185,30.993370000000002,Times Live,"The Durban University of Technology's Steve Biko campus erupted in chaos after a student protest disrupted classes. The students forced people out of the building, let off fire extinguishers, turned bins over, threw a student's phone by the window and threatened people.",0
9417,2017-07-25,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Cape Town,-33.92528,18.42389,GroundUp,Cape Flats moms march to Parliament over children killed in gang violence.,0
9418,2017-07-25,Riots/Protests,Protesters (South Africa),DA: Democratic Alliance; IFP: Inkatha Freedom Party,Protesters,,,NA,Sole protester action,South Africa,Durban,-29.8579,31.0292,African News Agency (ANA),"Opposition party councillors ( DA and IFP) gathered at Durban's city hall to call for the firing of eThekwinis African National Congress (ANC) mayor, Zandile Gumede, accusing her of bringing the city to the brink of collapse.",0
9419,2017-07-26,Violence against civilians,Unidentified Armed Group (South Africa),,Political militia,Civilians (South Africa),,Civilians,Political militia versus civilians,South Africa,Umlazi,-29.96667,30.883329999999997,African News Agency (ANA),"In another round of violence in Glebelands hostel, two people were killed.",2
